Match Number,Team Number,Starting Location,Initiation Line,Auto Balls [Low],Auto Balls [1],Auto Balls [2/3],Auto Balls [4],Auto Balls [5],Auto Balls [6],Auto Balls [Acquired],Auto End Location,Tele Balls [Low],Tele Balls [1],Tele Balls [2/3],Tele Balls [4],Tele Balls [5],Tele Balls [6],Wheel Spin,Wheel Color Match,Defender,Target,Endgame,Rung Level
1,4854,Inline with Opposing Trench,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,None,1
1,8179,Right of Goal,1,0,0,0,0,0,0,None,Alliance Trench,0,0,0,0,0,0,0,0,None,None,None,1
1,5577,Inline with Opposing Trench,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,None,0
1,3538,Right of Goal,1,0,0,2,0,0,0,None,Alliance Trench,0,0,10,13,0,0,0,0,None,None,Park,0
1,6013,Left of Goal,1,0,3,0,0,0,0,None,Middle,2,0,0,0,0,0,0,0,Light,None,Park,0
2,548,Inline with Goal,1,0,0,3,0,0,0,None,Goal Zone,0,2,0,0,0,0,0,0,None,None,Hang,0
2,7191,Inline with Opposing Trench,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Light,None,Park,0
2,7856,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,None,None,None,0
3,4768,Inline with Goal,1,0,0,3,0,0,0,None,Goal Zone,0,0,2,0,0,0,0,0,None,Light,Park,1
2,5498,Inline with Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,Park,0
3,33,Inline with Goal,0,0,0,1,0,0,0,None,Auto Line,0,0,6,2,0,0,0,0,None,None,None,1
3,4840,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,1
3,835,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,Light,None,None,1
4,5695,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,1
4,2591,Right of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,None,1
4,5090,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,5,0,0,0,0,0,0,0,None,None,Park,1
1,5197,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Heavy,None,Park,1
2,240,Right of Goal,1,0,0,2,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,Light,Park,0
